Time,data
1646121101.9234765,99663
1646121101.9408915,99662
1646121101.9714072,99663
1646121101.986896,99662
1646121102.0030503,99663
1646121102.0187778,99663
1646121102.0348809,99663
1646121102.0508785,99663
1646121102.0669136,99663
1646121102.0829396,99663
1646121102.0990808,99663
1646121102.1154919,99662
1646121102.1311388,99663
1646121102.1471548,99663
1646121102.1637187,99663
1646121102.1788867,99662
1646121102.1949637,99663
1646121102.210981,99662
1646121102.2275603,99663
1646121102.2437255,99663
1646121102.2594643,99662
1646121102.2767127,99663
1646121102.2912478,99662
1646121102.3079095,99663
1646121102.3243582,99662
1646121102.340019,99663
1646121102.3709586,99663
1646121102.387004,99663
1646121102.4029553,99663
1646121102.4190419,99663
1646121102.4347653,99663
1646121102.4508688,99662
1646121102.466861,99662
1646121102.4826727,99662
1646121102.4989367,99662
1646121102.515113,99662
1646121102.531126,99663
1646121102.5469809,99663
1646121102.563087,99662
1646121102.5788329,99662
1646121102.5959764,99662
1646121102.6113305,99662
1646121102.6271627,99663
1646121102.643073,99663
1646121102.6595428,99663
1646121102.675775,99663
1646121102.6919987,99662
1646121102.7075086,99663
1646121102.7240627,99662
1646121102.7548778,99662
1646121102.7708857,99663
1646121102.7867646,99662
1646121102.8027174,99662
1646121102.8190122,99663
1646121102.8346586,99662
1646121102.850752,99662
1646121102.866413,99662
1646121102.882744,99663
1646121102.8984873,99663
1646121102.9149363,99662
1646121102.9309335,99662
1646121102.9474409,99663
1646121102.9631195,99662
1646121102.979046,99663
1646121102.9955816,99663
1646121103.0116422,99662
1646121103.0278466,99663
1646121103.0437527,99663
1646121103.0589674,99663
1646121103.0755897,99663
1646121103.0914433,99663
1646121103.1080081,99663
1646121103.1247554,99663
1646121103.1406245,99663
1646121103.170834,99662
1646121103.1869433,99662
1646121103.2030456,99662
1646121103.2191823,99663
1646121103.2348764,99662
1646121103.2505956,99662
1646121103.2667592,99662
1646121103.2830906,99662
1646121103.2986546,99663
1646121103.315615,99663
1646121103.3307211,99662
1646121103.3468807,99662
1646121103.3625138,99662
